starttime	seconds	ctime	dtime	ttime	wait
Fri Dec 15 14:47:59 2017	1513345679	46	262	307	220
Fri Dec 15 14:44:48 2017	1513345488	44	263	307	220
Fri Dec 15 14:46:07 2017	1513345567	45	263	307	220
Fri Dec 15 14:46:52 2017	1513345612	44	263	307	220
Fri Dec 15 14:45:14 2017	1513345514	44	263	307	220
Fri Dec 15 14:45:22 2017	1513345522	44	263	307	220
Fri Dec 15 14:48:12 2017	1513345692	44	263	307	220
Fri Dec 15 14:46:13 2017	1513345573	44	263	307	222
Fri Dec 15 14:46:06 2017	1513345566	44	263	307	220
Fri Dec 15 14:48:18 2017	1513345698	45	263	307	219
Fri Dec 15 14:48:17 2017	1513345697	46	262	307	219
Fri Dec 15 14:44:45 2017	1513345485	44	263	307	221
Fri Dec 15 14:46:34 2017	1513345594	44	263	307	220
Fri Dec 15 14:47:28 2017	1513345648	46	261	307	220
Fri Dec 15 14:48:04 2017	1513345684	46	262	307	220
Fri Dec 15 14:49:35 2017	1513345775	45	263	307	220
Fri Dec 15 14:47:33 2017	1513345653	45	263	307	220
Fri Dec 15 14:49:38 2017	1513345778	45	262	307	220
Fri Dec 15 14:44:42 2017	1513345482	44	263	307	220
Fri Dec 15 14:47:03 2017	1513345623	43	264	307	221
Fri Dec 15 14:44:57 2017	1513345497	45	263	307	220
Fri Dec 15 14:49:22 2017	1513345762	44	264	307	222
Fri Dec 15 14:46:55 2017	1513345615	45	263	307	221
Fri Dec 15 14:47:04 2017	1513345624	44	263	308	221
Fri Dec 15 14:48:59 2017	1513345739	44	264	308	220
Fri Dec 15 14:47:38 2017	1513345658	45	263	308	220
Fri Dec 15 14:49:21 2017	1513345761	45	263	308	221
Fri Dec 15 14:49:35 2017	1513345775	44	264	308	220
Fri Dec 15 14:45:44 2017	1513345544	45	263	308	221
Fri Dec 15 14:46:41 2017	1513345601	45	263	308	220
Fri Dec 15 14:47:41 2017	1513345661	45	263	308	220
Fri Dec 15 14:45:35 2017	1513345535	45	263	308	220
Fri Dec 15 14:46:13 2017	1513345573	45	262	308	220
Fri Dec 15 14:46:49 2017	1513345609	45	263	308	220
Fri Dec 15 14:45:43 2017	1513345543	44	263	308	221
Fri Dec 15 14:46:52 2017	1513345612	45	263	308	220
Fri Dec 15 14:46:54 2017	1513345614	45	263	308	220
Fri Dec 15 14:45:04 2017	1513345504	45	262	308	220
Fri Dec 15 14:47:34 2017	1513345654	45	262	308	219
Fri Dec 15 14:45:40 2017	1513345540	45	263	308	221
Fri Dec 15 14:44:42 2017	1513345482	45	263	308	220
Fri Dec 15 14:47:29 2017	1513345649	46	262	308	220
Fri Dec 15 14:44:57 2017	1513345497	45	263	308	220
Fri Dec 15 14:46:32 2017	1513345592	45	263	308	221
Fri Dec 15 14:48:54 2017	1513345734	45	263	308	220
Fri Dec 15 14:46:49 2017	1513345609	45	263	308	221
Fri Dec 15 14:44:46 2017	1513345486	45	263	308	220
Fri Dec 15 14:47:41 2017	1513345661	45	263	308	220
Fri Dec 15 14:46:50 2017	1513345610	45	263	308	221
Fri Dec 15 14:46:35 2017	1513345595	44	264	308	222
Fri Dec 15 14:46:12 2017	1513345572	45	263	308	220
Fri Dec 15 14:48:05 2017	1513345685	45	263	308	221
Fri Dec 15 14:48:11 2017	1513345691	44	264	308	221
Fri Dec 15 14:45:34 2017	1513345534	46	261	308	220
Fri Dec 15 14:48:59 2017	1513345739	44	264	308	221
Fri Dec 15 14:49:21 2017	1513345761	44	264	308	221
Fri Dec 15 14:46:32 2017	1513345592	45	263	308	220
Fri Dec 15 14:47:37 2017	1513345657	45	263	308	221
Fri Dec 15 14:45:51 2017	1513345551	47	261	308	219
Fri Dec 15 14:46:55 2017	1513345615	44	264	308	221
Fri Dec 15 14:46:08 2017	1513345568	45	263	308	220
Fri Dec 15 14:45:37 2017	1513345537	45	263	308	220
Fri Dec 15 14:46:39 2017	1513345599	45	263	308	221
Fri Dec 15 14:44:53 2017	1513345493	44	264	308	220
Fri Dec 15 14:45:01 2017	1513345501	46	262	308	220
