starttime	seconds	ctime	dtime	ttime	wait
Fri Dec 15 15:12:54 2017	1513347174	46	47	93	47
Fri Dec 15 15:13:10 2017	1513347190	46	47	93	47
Fri Dec 15 15:12:15 2017	1513347135	46	46	93	45
Fri Dec 15 15:13:09 2017	1513347189	46	47	93	46
Fri Dec 15 15:13:01 2017	1513347181	46	46	93	46
Fri Dec 15 15:12:50 2017	1513347170	44	49	93	48
Fri Dec 15 15:11:37 2017	1513347097	45	47	93	46
Fri Dec 15 15:12:08 2017	1513347128	46	47	93	47
Fri Dec 15 15:12:33 2017	1513347153	45	48	93	48
Fri Dec 15 15:11:36 2017	1513347096	46	47	93	47
Fri Dec 15 15:13:01 2017	1513347181	47	46	93	46
Fri Dec 15 15:11:46 2017	1513347106	45	48	93	47
Fri Dec 15 15:11:54 2017	1513347114	45	48	93	47
Fri Dec 15 15:12:45 2017	1513347165	45	48	93	46
Fri Dec 15 15:11:55 2017	1513347115	44	49	93	46
Fri Dec 15 15:12:56 2017	1513347176	45	48	93	48
Fri Dec 15 15:12:06 2017	1513347126	45	48	93	47
Fri Dec 15 15:12:12 2017	1513347132	46	47	93	47
Fri Dec 15 15:12:11 2017	1513347131	45	48	93	48
Fri Dec 15 15:12:50 2017	1513347170	47	46	93	46
Fri Dec 15 15:12:42 2017	1513347162	45	48	93	48
Fri Dec 15 15:12:50 2017	1513347170	45	48	93	48
Fri Dec 15 15:11:31 2017	1513347091	45	48	93	48
Fri Dec 15 15:12:30 2017	1513347150	46	47	93	45
Fri Dec 15 15:13:09 2017	1513347189	45	48	93	48
Fri Dec 15 15:13:07 2017	1513347187	44	49	93	49
Fri Dec 15 15:12:34 2017	1513347154	47	46	93	46
Fri Dec 15 15:11:44 2017	1513347104	46	48	93	47
Fri Dec 15 15:12:04 2017	1513347124	43	50	93	47
Fri Dec 15 15:11:51 2017	1513347111	46	47	93	46
Fri Dec 15 15:12:50 2017	1513347170	47	47	93	46
Fri Dec 15 15:12:47 2017	1513347167	46	47	93	47
Fri Dec 15 15:12:42 2017	1513347162	44	49	93	49
Fri Dec 15 15:12:20 2017	1513347140	45	48	93	48
Fri Dec 15 15:12:37 2017	1513347157	47	46	93	46
Fri Dec 15 15:12:36 2017	1513347156	45	48	93	47
Fri Dec 15 15:12:09 2017	1513347129	46	48	93	48
Fri Dec 15 15:11:35 2017	1513347095	45	48	93	47
Fri Dec 15 15:12:19 2017	1513347139	45	48	93	47
Fri Dec 15 15:12:44 2017	1513347164	45	48	93	48
Fri Dec 15 15:12:17 2017	1513347137	47	47	93	46
Fri Dec 15 15:11:40 2017	1513347100	47	47	93	46
Fri Dec 15 15:13:09 2017	1513347189	47	46	93	45
Fri Dec 15 15:11:56 2017	1513347116	46	48	93	47
Fri Dec 15 15:12:33 2017	1513347153	46	47	93	46
Fri Dec 15 15:11:40 2017	1513347100	46	47	93	46
Fri Dec 15 15:12:14 2017	1513347134	46	48	93	47
Fri Dec 15 15:12:13 2017	1513347133	46	47	93	47
Fri Dec 15 15:11:47 2017	1513347107	46	48	93	47
Fri Dec 15 15:13:06 2017	1513347186	46	48	93	48
Fri Dec 15 15:13:00 2017	1513347180	49	45	94	45
Fri Dec 15 15:12:04 2017	1513347124	46	48	94	48
Fri Dec 15 15:13:05 2017	1513347185	46	47	94	47
Fri Dec 15 15:12:00 2017	1513347120	46	47	94	47
Fri Dec 15 15:11:47 2017	1513347107	46	48	94	48
Fri Dec 15 15:12:05 2017	1513347125	47	47	94	47
Fri Dec 15 15:12:21 2017	1513347141	46	48	94	47
Fri Dec 15 15:11:51 2017	1513347111	48	46	94	46
Fri Dec 15 15:12:16 2017	1513347136	47	47	94	46
Fri Dec 15 15:11:54 2017	1513347114	47	47	94	47
Fri Dec 15 15:12:44 2017	1513347164	45	49	94	49
Fri Dec 15 15:11:38 2017	1513347098	46	48	94	47
Fri Dec 15 15:13:02 2017	1513347182	45	49	94	49
Fri Dec 15 15:12:04 2017	1513347124	45	49	94	47
Fri Dec 15 15:12:50 2017	1513347170	46	48	94	48
Fri Dec 15 15:12:23 2017	1513347143	46	48	94	47
Fri Dec 15 15:11:35 2017	1513347095	46	48	94	48
Fri Dec 15 15:11:38 2017	1513347098	45	49	94	48
Fri Dec 15 15:12:40 2017	1513347160	47	47	94	47
Fri Dec 15 15:13:07 2017	1513347187	48	46	94	46
Fri Dec 15 15:12:24 2017	1513347144	47	47	94	47
Fri Dec 15 15:12:23 2017	1513347143	48	46	94	46
Fri Dec 15 15:12:21 2017	1513347141	46	48	94	47
Fri Dec 15 15:12:39 2017	1513347159	47	47	94	47
Fri Dec 15 15:12:15 2017	1513347135	48	46	94	45
Fri Dec 15 15:12:52 2017	1513347172	46	48	94	48
Fri Dec 15 15:12:43 2017	1513347163	48	46	94	45
Fri Dec 15 15:12:39 2017	1513347159	46	48	94	48
Fri Dec 15 15:11:40 2017	1513347100	47	47	94	47
Fri Dec 15 15:12:21 2017	1513347141	46	48	94	48
Fri Dec 15 15:12:01 2017	1513347121	48	46	94	46
Fri Dec 15 15:12:02 2017	1513347122	44	50	94	50
Fri Dec 15 15:11:46 2017	1513347106	45	49	94	49
Fri Dec 15 15:12:35 2017	1513347155	46	48	94	48
Fri Dec 15 15:11:44 2017	1513347104	46	48	94	48
Fri Dec 15 15:11:30 2017	1513347090	44	50	94	49
Fri Dec 15 15:12:23 2017	1513347143	47	48	94	47
Fri Dec 15 15:12:47 2017	1513347167	45	49	94	48
Fri Dec 15 15:11:58 2017	1513347118	46	48	94	48
Fri Dec 15 15:12:19 2017	1513347139	46	49	94	48
Fri Dec 15 15:12:10 2017	1513347130	45	49	94	47
Fri Dec 15 15:12:32 2017	1513347152	45	49	94	49
Fri Dec 15 15:12:05 2017	1513347125	48	46	94	46
Fri Dec 15 15:13:05 2017	1513347185	46	48	94	48
Fri Dec 15 15:11:43 2017	1513347103	46	48	94	48
Fri Dec 15 15:11:29 2017	1513347089	47	48	94	48
Fri Dec 15 15:11:41 2017	1513347101	46	48	94	48
Fri Dec 15 15:12:24 2017	1513347144	46	48	94	48
Fri Dec 15 15:12:27 2017	1513347147	47	47	94	47
Fri Dec 15 15:12:22 2017	1513347142	46	48	94	48
Fri Dec 15 15:13:09 2017	1513347189	47	47	94	47
Fri Dec 15 15:12:47 2017	1513347167	47	47	94	46
Fri Dec 15 15:12:06 2017	1513347126	48	47	94	47
Fri Dec 15 15:12:59 2017	1513347179	46	48	94	46
Fri Dec 15 15:12:57 2017	1513347177	47	47	94	46
Fri Dec 15 15:11:42 2017	1513347102	47	48	94	47
Fri Dec 15 15:12:01 2017	1513347121	46	48	94	48
Fri Dec 15 15:13:01 2017	1513347181	46	48	94	48
Fri Dec 15 15:11:56 2017	1513347116	47	48	94	47
Fri Dec 15 15:12:06 2017	1513347126	48	47	94	46
Fri Dec 15 15:13:01 2017	1513347181	49	46	94	45
Fri Dec 15 15:12:03 2017	1513347123	47	48	94	47
Fri Dec 15 15:12:43 2017	1513347163	46	48	94	48
Fri Dec 15 15:12:21 2017	1513347141	46	48	94	47
Fri Dec 15 15:11:45 2017	1513347105	47	48	95	47
Fri Dec 15 15:11:31 2017	1513347091	47	48	95	47
Fri Dec 15 15:13:02 2017	1513347182	47	47	95	46
Fri Dec 15 15:11:29 2017	1513347089	48	47	95	47
Fri Dec 15 15:12:02 2017	1513347122	46	49	95	49
Fri Dec 15 15:13:03 2017	1513347183	45	49	95	49
Fri Dec 15 15:12:52 2017	1513347172	47	48	95	48
Fri Dec 15 15:11:41 2017	1513347101	48	47	95	46
Fri Dec 15 15:11:39 2017	1513347099	46	48	95	47
Fri Dec 15 15:12:19 2017	1513347139	47	48	95	47
Fri Dec 15 15:11:30 2017	1513347090	44	50	95	50
Fri Dec 15 15:13:03 2017	1513347183	46	48	95	47
Fri Dec 15 15:12:29 2017	1513347149	46	49	95	48
Fri Dec 15 15:12:12 2017	1513347132	46	48	95	47
Fri Dec 15 15:13:02 2017	1513347182	47	48	95	47
Fri Dec 15 15:12:32 2017	1513347152	45	50	95	46
Fri Dec 15 15:13:09 2017	1513347189	47	48	95	46
Fri Dec 15 15:11:31 2017	1513347091	46	48	95	48
Fri Dec 15 15:12:59 2017	1513347179	45	50	95	50
Fri Dec 15 15:12:16 2017	1513347136	46	49	95	48
Fri Dec 15 15:12:21 2017	1513347141	46	49	95	49
Fri Dec 15 15:12:08 2017	1513347128	46	48	95	48
Fri Dec 15 15:13:08 2017	1513347188	46	49	95	49
Fri Dec 15 15:11:53 2017	1513347113	47	48	95	48
Fri Dec 15 15:12:01 2017	1513347121	48	47	95	46
Fri Dec 15 15:12:14 2017	1513347134	46	49	95	47
Fri Dec 15 15:12:08 2017	1513347128	46	49	95	49
Fri Dec 15 15:12:20 2017	1513347140	47	48	95	47
Fri Dec 15 15:12:44 2017	1513347164	49	46	95	45
Fri Dec 15 15:12:32 2017	1513347152	47	48	95	48
Fri Dec 15 15:12:34 2017	1513347154	46	49	95	48
Fri Dec 15 15:12:13 2017	1513347133	46	49	95	49
Fri Dec 15 15:12:22 2017	1513347142	46	49	95	48
Fri Dec 15 15:11:51 2017	1513347111	49	46	95	45
Fri Dec 15 15:13:06 2017	1513347186	47	48	95	47
Fri Dec 15 15:12:34 2017	1513347154	47	48	95	47
Fri Dec 15 15:11:34 2017	1513347094	46	49	95	48
Fri Dec 15 15:12:20 2017	1513347140	46	49	95	49
Fri Dec 15 15:12:28 2017	1513347148	46	49	95	48
Fri Dec 15 15:12:10 2017	1513347130	47	48	95	47
Fri Dec 15 15:12:57 2017	1513347177	46	49	95	49
Fri Dec 15 15:11:53 2017	1513347113	45	50	95	50
Fri Dec 15 15:12:44 2017	1513347164	46	49	95	49
Fri Dec 15 15:13:06 2017	1513347186	49	46	95	46
Fri Dec 15 15:11:43 2017	1513347103	46	49	95	49
Fri Dec 15 15:12:44 2017	1513347164	48	47	95	46
Fri Dec 15 15:12:35 2017	1513347155	48	48	95	47
Fri Dec 15 15:12:35 2017	1513347155	46	49	95	49
Fri Dec 15 15:12:41 2017	1513347161	47	48	95	47
Fri Dec 15 15:12:04 2017	1513347124	46	49	95	48
Fri Dec 15 15:11:51 2017	1513347111	46	49	95	48
Fri Dec 15 15:12:48 2017	1513347168	48	48	95	48
Fri Dec 15 15:13:09 2017	1513347189	48	48	95	48
Fri Dec 15 15:12:39 2017	1513347159	46	49	95	49
Fri Dec 15 15:12:44 2017	1513347164	48	47	95	46
Fri Dec 15 15:12:37 2017	1513347157	47	48	95	47
Fri Dec 15 15:11:36 2017	1513347096	46	49	95	49
Fri Dec 15 15:11:47 2017	1513347107	49	47	95	46
Fri Dec 15 15:11:37 2017	1513347097	47	49	95	47
Fri Dec 15 15:11:34 2017	1513347094	44	51	95	51
Fri Dec 15 15:12:00 2017	1513347120	47	48	95	48
Fri Dec 15 15:12:32 2017	1513347152	47	48	95	47
Fri Dec 15 15:11:44 2017	1513347104	46	50	95	50
Fri Dec 15 15:11:46 2017	1513347106	46	49	95	48
Fri Dec 15 15:12:24 2017	1513347144	48	47	95	46
Fri Dec 15 15:12:05 2017	1513347125	48	47	95	47
Fri Dec 15 15:11:58 2017	1513347118	47	48	95	48
Fri Dec 15 15:12:46 2017	1513347166	45	51	95	51
Fri Dec 15 15:12:02 2017	1513347122	49	46	95	46
Fri Dec 15 15:12:03 2017	1513347123	48	48	95	47
Fri Dec 15 15:13:10 2017	1513347190	46	49	95	49
Fri Dec 15 15:11:43 2017	1513347103	46	50	95	49
Fri Dec 15 15:12:03 2017	1513347123	46	49	95	49
Fri Dec 15 15:11:57 2017	1513347117	47	48	95	48
Fri Dec 15 15:11:39 2017	1513347099	45	50	95	49
Fri Dec 15 15:12:50 2017	1513347170	43	52	95	52
